Data Set 2:Time(s),Data Set 2:Potential(V),Data Set 2:Position(m)
12.9,-3.868,0.309
12.95,-3.354,0.333
13,-2.333,0.36
13.05,-0.955,0.383
13.1,0.586,0.401
13.15,2.039,0.409
13.2,3.184,0.407
13.25,3.849,0.393
13.3,3.94,0.374
13.35,3.426,0.347
13.4,2.414,0.321
13.45,1.024,0.298
13.5,-0.514,0.278
13.55,-1.967,0.269
13.6,-3.112,0.27
13.65,-3.771,0.282
13.7,-3.868,0.304
13.75,-3.351,0.329
13.8,-2.336,0.358
13.85,-0.946,0.383
13.9,0.589,0.404
13.95,2.036,0.414
14,3.181,0.413
14.05,3.849,0.402
14.1,3.942,0.38
14.15,3.432,0.353
14.2,2.414,0.323
14.25,1.021,0.298
14.3,-0.508,0.276
14.35,-1.967,0.265
14.4,-3.112,0.265
14.45,-3.771,0.276
14.5,-3.871,0.298
14.55,-3.354,0.325
14.6,-2.336,0.356
14.65,-0.949,0.383
14.7,0.586,0.407
14.75,2.042,0.418
14.8,3.184,0.419
14.85,3.852,0.408
14.9,3.942,0.385
14.95,3.429,0.358
15,2.405,0.326
15.05,1.018,0.298
15.1,-0.52,0.274
15.15,-1.967,0.261
15.2,-3.119,0.259
15.25,-3.774,0.269
15.3,-3.868,0.29
15.35,-3.354,0.32
15.4,-2.333,0.35
15.45,-0.949,0.382
15.5,0.589,0.408
15.55,2.036,0.422
15.6,3.178,0.424
15.65,3.849,0.414
15.7,3.94,0.391
15.75,3.429,0.363
15.8,2.417,0.329
15.85,1.021,0.299
15.9,-0.511,0.272
15.95,-1.973,0.257
16,-3.109,0.254
16.05,-3.78,0.263
16.1,-3.871,0.283
16.15,-3.354,0.314
16.2,-2.345,0.347
16.25,-0.949,0.381
16.3,0.583,0.409
16.35,2.033,0.425
16.4,3.184,0.429
16.45,3.849,0.42
16.5,3.942,0.399
16.55,3.432,0.368
16.6,2.414,0.333
16.65,1.024,0.301
16.7,-0.511,0.271
16.75,-1.967,0.254
16.8,-3.112,0.249
16.85,-3.774,0.258
16.9,-3.874,0.278
16.95,-3.36,0.309
17,-2.333,0.343
17.05,-0.955,0.379
17.1,0.586,0.41
17.15,2.039,0.428
17.2,3.181,0.433
17.25,3.84,0.426
17.3,3.942,0.405
17.35,3.426,0.373
17.4,2.414,0.336
17.45,1.021,0.302
17.5,-0.508,0.271
17.55,-1.967,0.252
17.6,-3.115,0.245
17.65,-3.777,0.252
17.7,-3.868,0.272
17.75,-3.351,0.304
17.8,-2.336,0.339
17.85,-0.949,0.377
17.9,0.589,0.41
17.95,2.036,0.43
18,3.184,0.436
18.05,3.846,0.429
18.1,3.94,0.408
18.15,3.423,0.374
18.2,2.414,0.336
18.25,1.024,0.301
